Book Name,Author,Rating,Customers_Rated,Price
Modern Comfort Food: A Barefoot Contessa Cookbook,Ina Garten,4.5 out of 5 stars,261,$21.00 
Room on the Broom,Julia Donaldson,4.9 out of 5 stars,"8,785",$5.00 
Dog Man: Grime and Punishment: From the Creator of Captain Underpants (Dog Man #9) (9),Dav Pilkey,4.9 out of 5 stars,"6,392",$7.01 
If Animals Kissed Good Night,Ann Whitford Paul,4.8 out of 5 stars,"18,582",$4.79 
A Time for Mercy (Jake Brigance),John Grisham,3.8 out of 5 stars,35,$17.97 
This Just Speaks to Me: Words to Live By Every Day,Hoda Kotb,3.0 out of 5 stars,2,$16.78 
Polar Express 30th anniversary edition,Chris Van Allsburg,4.9 out of 5 stars,"3,677",$7.86 
The Happy in a Hurry Cookbook: 100-Plus Fast and Easy New Recipes That Taste Like Home (The Happy Cookbook Series),Steve Doocy,4.7 out of 5 stars,448,$17.99 
Encyclopedia Prehistorica Dinosaurs : The Definitive Pop-Up,Robert Sabuda,4.9 out of 5 stars,"3,353",$19.50 
I Love You to the Moon and Back,Amelia Hepworth,4.9 out of 5 stars,"9,779",$5.00 
"School Zone - Big Preschool Workbook - Ages 4 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Reading…",School Zone,4.8 out of 5 stars,"26,361",$6.69 
Caste (Oprah's Book Club): The Origins of Our Discontents,Isabel Wilkerson,4.8 out of 5 stars,"5,853",$17.58 
The Deep End (Diary of a Wimpy Kid Book 15),Jeff Kinney,-1,0,$10.58 
The Very Hungry Caterpillar,Eric Carle,4.9 out of 5 stars,"21,440",$5.76 
Midnight Sun,Stephenie Meyer,4.8 out of 5 stars,"28,216",$16.79 
Levi's Men's 517 Bootcut Jean,0,4.5 out of 5 stars,"8,094",$31.98 
The Little Old Lady Who Was Not Afraid of Anything,Linda D. Williams,4.8 out of 5 stars,903,$4.81 
Untamed,Glennon Doyle,4.7 out of 5 stars,"17,138",$16.79 
First Little Readers Parent Pack: Guided Reading Level A: 25 Irresistible Books That Are Just the Right Level for…,Deborah Schecter,4.7 out of 5 stars,"8,202",$11.99 
The Return,Nicholas Sparks,4.6 out of 5 stars,"1,997",$16.80 
How to Catch a Unicorn,Adam Wallace,4.8 out of 5 stars,"8,755",$5.49 
"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More! (Kids coloring…",Crystal Radke,4.8 out of 5 stars,"25,667",$5.59 
Little Blue Truck's Halloween,Alice Schertle,4.9 out of 5 stars,"1,912",$8.64 
The Spider Who Saved Christmas,Raymond Arroyo,-1,0,$17.95 
One Vote Away: How a Single Supreme Court Seat Can Change History,Ted Cruz,4.7 out of 5 stars,274,$25.99 
Follow the Money: The Shocking Deep State Connections of the Anti-Trump Cabal,Dan Bongino,4.8 out of 5 stars,183,$16.80 
"The Antiquarian Sticker Book: Over 1,000 Exquisite Victorian Stickers",Odd Dot,4.8 out of 5 stars,"2,067",$17.49 
The Home Edit: A Guide to Organizing and Realizing Your House Goals (Includes Refrigerator Labels),Clea Shearer,4.7 out of 5 stars,"2,696",$14.20 
"The Tower of Nero (Trials of Apollo, The Book Five) (Trials of Apollo, 5)",Rick Riordan,4.9 out of 5 stars,"1,003",$13.19 
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9 out of 5 stars,"15,677",$5.67 
How to Catch a Mermaid,Adam Wallace,4.8 out of 5 stars,"24,200",$5.99 
"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",National Geographic Kids,4.8 out of 5 stars,"8,213",$12.29 
Spooky Pookie (Little Pookie),Sandra Boynton,4.9 out of 5 stars,964,$3.73 
Blackout: How Black America Can Make Its Second Escape from the Democrat Plantation,Candace Owens,4.9 out of 5 stars,"2,718",$16.80 
Giraffes Can't Dance,Giles Andreae,4.8 out of 5 stars,"15,231",$5.00 
The Office: A Day at Dunder Mifflin Elementary,Robb Pearlman,4.9 out of 5 stars,349,$12.28 
Rage,Bob Woodward,4.7 out of 5 stars,"7,444",$17.72 
"Instant Loss: Eat Real, Lose Weight: How I Lost 125 Pounds―Includes 100+ Recipes",Brittany Williams,4.6 out of 5 stars,"2,721",$9.99 
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7 out of 5 stars,"25,763",$6.48 
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,4.8 out of 5 stars,"14,055",$16.20 
The Searcher: A Novel,Tana French,4.4 out of 5 stars,672,$16.19 
"School Zone - Multiplication 0-12 Flash Cards - Ages 8+, 3rd Grade, 4th Grade, Elementary Math, Multiplication Facts…",School Zone,4.6 out of 5 stars,"7,202",$2.99 
Paint by Sticker Kids: Zoo Animals: Create 10 Pictures One Sticker at a Time!,Workman Publishing,4.8 out of 5 stars,"5,666",$5.90 
Where the Wild Things Are,Maurice Sendak,4.8 out of 5 stars,"11,012",$5.00 
The Vanishing Half: A Novel,Brit Bennett,4.5 out of 5 stars,"13,281",$16.20 
The Wonky Donkey,Craig Smith,4.8 out of 5 stars,"115,670",$4.85 
Llama Llama Loves Camping,Anna Dewdney,4.7 out of 5 stars,"6,644",$2.89 
Chicka Chicka Boom Boom (Board Book),Bill Martin Jr.,4.8 out of 5 stars,"12,136",$5.00 
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8 out of 5 stars,"27,534",$8.99 
Think Like a Monk: Train Your Mind for Peace and Purpose Every Day,Jay Shetty,4.9 out of 5 stars,"4,032",$16.20 
Pete the Cat: Trick or Pete,James Dean,4.8 out of 5 stars,843,$6.28 
Leadership Strategy and Tactics: Field Manual,Jocko Willink,4.9 out of 5 stars,"2,278",$15.66 
"The Complete Mediterranean Cookbook: 500 Vibrant, Kitchen-Tested Recipes for Living and Eating Well Every Day",America's Test Kitchen,4.6 out of 5 stars,"4,703",$20.26 
Where the Crawdads Sing,Delia Owens,4.8 out of 5 stars,"97,729",$15.34 
Little Blue Truck's Christmas,Alice Schertle,4.8 out of 5 stars,"3,721",$7.52 
American Crisis: Leadership Lessons from the COVID-19 Pandemic,Andrew Cuomo,4.4 out of 5 stars,9,$18.00 
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk M.D.,4.8 out of 5 stars,"13,643",$12.98 
Burnout: The Secret to Unlocking the Stress Cycle,Emily Nagoski PhD,4.6 out of 5 stars,439,$15.30 
Is This Anything?,Jerry Seinfeld,4.2 out of 5 stars,80,$21.00 
Star Wars: 5-Minute Star Wars Stories (5-Minute Stories),Lucasfilm Press,4.9 out of 5 stars,"1,325",$5.61 
The Trials of Apollo 3-Book Paperback Boxed Set,Rick Riordan,4.8 out of 5 stars,"1,069",$19.89 
The One and Only Ivan,Katherine Applegate,4.8 out of 5 stars,"8,075",$6.96 
Skinnytaste Meal Prep: Healthy Make-Ahead Meals and Freezer Recipes to Simplify Your Life: A Cookbook,Gina Homolka,4.8 out of 5 stars,698,$19.50 
The Invisible Life of Addie LaRue,V. E. Schwab,4.7 out of 5 stars,293,$16.19 
What Should Danny Do? (The Power to Choose Series),Adir Levy,4.8 out of 5 stars,"8,890",$13.19 
Room on the Broom,Julia Donaldson,4.9 out of 5 stars,"8,785",$5.00 
True Comfort: More Than 100 Cozy Recipes Free of Gluten and Refined Sugar: A Gluten Free Cookbook,Kristin Cavallari,4.8 out of 5 stars,242,$17.52 
First 101 Words: A Highlights Hide-and-Seek Book with Flaps,Highlights Learning,4.7 out of 5 stars,628,$8.49 
"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",Hopscotch Girls,4.8 out of 5 stars,"10,656",$8.47 
White Fragility: Why It's So Hard for White People to Talk About Racism,Robin DiAngelo,4.5 out of 5 stars,"19,374",$9.60 
The Outsiders,S. E. Hinton,4.8 out of 5 stars,"9,846",$5.89 
Becoming,Michelle Obama,4.8 out of 5 stars,"65,418",$11.89 
"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",Valorie Schaefer,4.8 out of 5 stars,"9,674",$7.53 
Killing Crazy Horse: The Merciless Indian Wars in America (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7 out of 5 stars,"1,501",$18.00 
Anxious People: A Novel,Fredrik Backman,4.5 out of 5 stars,"2,497",$17.46 
Fahrenheit 451,Ray Bradbury,4.6 out of 5 stars,"11,689",$8.29 
Leave the World Behind: A Novel,Rumaan Alam,3.6 out of 5 stars,420,$16.88 
The Guest List: A Novel,Lucy Foley,4.3 out of 5 stars,"9,055",$16.79 
Paint by Sticker Kids: Unicorns & Magic: Create 10 Pictures One Sticker at a Time! Includes Glitter Stickers,Workman Publishing,4.8 out of 5 stars,"7,058",$6.90 
"Bob Books, Set 1: Beginning Readers",Bobby Lynn Maslen,4.8 out of 5 stars,"6,935",$10.19 
"Good Night, Little Blue Truck",Alice Schertle,4.9 out of 5 stars,"4,679",$10.77 
Goodnight Moon,Margaret Wise Brown,4.9 out of 5 stars,"9,590",$7.21 
The Girl Who Drank the Moon (Winner of the 2017 Newbery Medal),Kelly Barnhill,4.7 out of 5 stars,"6,153",$4.49 
DK Children's Encyclopedia: The Book that Explains Everything,DK,4.8 out of 5 stars,423,$18.79 
Party in an Air Fryer: 75+ Air Fryer Recipes from the Editors at Delish,The Editors of Delish,4.6 out of 5 stars,510,$24.95 
Dungeons & Dragons Essentials Kit (D&D Boxed Set),Wizards RPG Team,4.8 out of 5 stars,"5,422",$15.59 
First Little Readers Parent Pack: Guided Reading Level C: 25 Irresistible Books That Are Just the Right Level for…,Liza Charlesworth,4.8 out of 5 stars,"2,513",$11.59 
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.7 out of 5 stars,"33,520",$8.99 
1984 (Signet Classics),George Orwell,4.7 out of 5 stars,"23,496",$6.86 
The Evening and the Morning (Kingsbridge),Ken Follett,4.7 out of 5 stars,"5,147",$21.60 
I Really Needed This Today: Words to Live By,Hoda Kotb,4.8 out of 5 stars,"2,270",$14.49 
Tasha's Cauldron of Everything (D&D Rules Expansion) (Dungeons & Dragons),Wizards RPG Team,-1,0,$29.97 
The Ballad of Songbirds and Snakes (A Hunger Games Novel),Suzanne Collins,4.7 out of 5 stars,"23,023",$14.38 
Wacky Waving Inflatable Tube Guy (RP Minis),Conor Riordan,4.0 out of 5 stars,"9,908",$7.99 
Modern Witch Tarot Deck,Lisa Sterle,4.9 out of 5 stars,"2,986",$22.05 
The Essential Instant Pot Cookbook: Fresh and Foolproof Recipes for Your Electric Pressure Cooker,Coco Morante,4.3 out of 5 stars,"1,409",$12.46 
The Meaning of Mariah Carey,Mariah Carey,4.8 out of 5 stars,972,$17.78 
Dickies Men's Relaxed Fit Straight-Leg Duck Carpenter Jean,0,4.5 out of 5 stars,"9,448",$17.99 
The Pout-Pout Fish,Deborah Diesen,4.8 out of 5 stars,"10,558",$5.00 
The Step-by-Step Instant Pot Cookbook: 100 Simple Recipes for Spectacular Results -- with Photographs of Every Step,Jeffrey Eisner,4.8 out of 5 stars,"5,645",$15.98 